Species,seq.no,tax1,tax2,tax3,tax4
human,1,Primates,Hominidae,Hominidae,Outgroup
mouselemur,2,Primates,Cheirogaleidae,Cheirogaleidae,Outgroup
mouse,3,Rodentia,Muridae,Muridae,Outgroup
rat,4,Rodentia,Muridae,Muridae,Outgroup
beaver,5,Rodentia,Sciruidae,Sciruidae,Outgroup
marmot,6,Rodentia,Sciruidae,Sciruidae,Outgroup
frtbat,7,Chiroptera,Pteropodidae,Pteropodidae,Outgroup
horse,8,Perissodactyla,Equidae,Equidae,Outgroup
cow,9,Artiodactyla,Bovidae,Bovidae,Outgroup
sheep,10,Artiodactyla,Bovidae,Bovidae,Outgroup
reindeer,11,Artiodactyla,Cervidae,Cervidae,Outgroup
bowhead,12,Cetartiodactyla,Balaenopteridae,Balaenopteridae,Outgroup
minke,13,Cetartiodactyla,Balaenopteridae,Balaenopteridae,Outgroup
beluga,14,Cetartiodactyla,Monodontidae,Monodontidae,Outgroup
dolph,15,Cetartiodactyla,Delphinidae,Delphinidae,Outgroup
cat,16,Carnivora,Felidae,Felidae,Outgroup
panda,17,Carnivora,Ursidae,Ursidae,Outgroup
polbear,18,Carnivora,Ursidae,Ursidae,Outgroup
grizzly,19,Carnivora,Ursidae,Ursidae,Outgroup
otter,20,Carnivora,Mustelidae,Mustelidae,Outgroup
sable,21,Carnivora,Mustelidae,Mustelidae,Outgroup
ferret,22,Carnivora,Mustelidae,Mustelidae,Outgroup
ermine,23,Carnivora,Mustelidae,Mustelidae,Outgroup
walrus,24,Pinnipedia,Odobenidae,Odobenidae,
steller,25,Pinnipedia,Otariidae,Otariidae,
calisl,26,Pinnipedia,Otariidae,Otariidae,
nfursl,27,Pinnipedia,Otariidae,Otariidae,
nes,28,Pinnipedia,Phocidae,Monachinae,
ses,29,Pinnipedia,Phocidae,Monachinae,
hmonk,30,Pinnipedia,Phocidae,Monachinae,
weddell,31,Pinnipedia,Phocidae,Monachinae,
caspian,32,Pinnipedia,Phocidae,Phocinae,
grey,33,Pinnipedia,Phocidae,Phocinae,
ringed,34,Pinnipedia,Phocidae,Phocinae,
harbour,35,Pinnipedia,Phocidae,Phocinae,
largha,36,Pinnipedia,Phocidae,Phocinae,
hooded,37,Pinnipedia,Phocidae,Phocinae,
ele,38,Afrotheria,Proboscidea,Proboscidea,Outgroup
golmole,39,Afrosoricida,Chrysochloridae,Chrysochloridae,Outgroup
armadil,40,Xenarthra,Choloepodidae,Choloepodidae,Outgroup
tammar,41,Diprotodontia,Phalangeridae,Phalangeridae,Outgroup
btposs,42,Diprotodontia,Phalangeridae,Phalangeridae,Outgroup
platypus,43,Monotremata,Ornithorhynchidae,Ornithorhynchidae,Outgroup
